item,context,effect_type,effect,generation_start,generation_end,notes
deep-sea-scale,field,evolution-trigger,Evolves Clamperl into Gorebyss when traded,3,,Item is consumed on evolution
deep-sea-scale,held,stat-boost,Doubles Special Defense when held by Clamperl,3,,
deep-sea-tooth,field,evolution-trigger,Evolves Clamperl into Huntail when traded,3,,Item is consumed on evolution
deep-sea-tooth,held,stat-boost,Doubles Special Attack when held by Clamperl,3,,
delphoxite,battle,evolution-trigger,"Allows Delphox to Mega Evolve into Mega Delphox when held, if the Trainer has a Key Stone",9,,
destiny-knot,battle,status-effect,"If the holder becomes infatuated, the opposing Pokémon also becomes infatuated.",4,,
destiny-knot,field,breeding,Eggs inherit 5 random IVs from either parent instead of 3.,6,,
devon-scope,field,detection,Reveals invisible Pokémon such as Kecleon and allows access to blocked areas.,3,,
devon-scuba-gear,field,passive,Provides oxygen while underwater during the use of Dive.,6,,
diamond-bottle,field,decorative,Decorates the player's picnic with no gameplay effect.,9,,
diamond-chairs,passive,cosmetic,Decorates the player's picnic with themed chairs.,9,,
diamond-pattern-cup,passive,cosmetic,Decorates the player's picnic.,9,,
diamond-tablecloth,field,cosmetic,Decorates the player's picnic with a diamond-patterned tablecloth.,9,,
diancite,held,evolution-trigger,Allows Diancie to Mega Evolve into Mega Diancie,6,,
digger-drill,field,utility,Creates a Secret Base; removes the previous one if it exists. Consumed on use.,4,,
dire-hit,battle,stat-boost,Raises critical-hit ratio by 2 stages,3,,Does not stack with Focus Energy or other Dire Hits.
dire-hit-2,battle,stat-boost,+2 critical-hit ratio stages,5,,
dire-hit-3,battle,stat-boost,+3 critical-hit ratio stages,5,,
direshroom,passive,crafting-material,Used to craft Dire Hit (2) and Choice Dumpling (1).,8,,
discount-coupon,field,price-modifier,One-time 50% discount at boutiques,6,,
discovery-slate,field,story,"Allows the player to battle Regirock, Regice, and Registeel in the Discovery Room at Ramanas Park.",8,,
distortion-slate,field,story,"Allows entry into the Distortion Room at Ramanas Park to battle Origin Forme Giratina, which cannot be caught and must be defeated.",8,,
dive-ball,battle,catch-rate-modifier,3.5× when used on Pokémon in or on water; otherwise 1×,3,,Ultra Beasts have reduced modifier in Generations VII–VIII.
dna-splicers,field,evolution-trigger,Fuses or separates Kyurem with Reshiram or Zekrom,5,,
dome-fossil,field,evolution-trigger,Can be restored into Kabuto at specific locations,1,,
doppel-bonnets,passive,crafting-material,Required to craft an Aux Evasion,8,,
douse-drive,battle,type-change,Changes Techno Blast to Water type when used by Genesect.,5,,
douse-drive,held,form-change,Changes Genesect to its Douse Drive form.,5,,Cannot be removed or transferred by item-manipulating moves.
dowsing-machine,field,utility,Detects hidden items in the overworld.,1,,
draco-plate,held,type-boost,Boosts Dragon-type moves by 20%,4,,
draco-plate,held,form-change,Changes Arceus to Dragon type,4,,Via Multitype ability
dragalgite,held,evolution-trigger,Allows Dragalge to Mega Evolve into Mega Dragalge during battle,9,,
dragon-fang,held,type-boost,Boosts Dragon-type move power by 20%,4,,
dragon-fang,held,type-boost,Boosts Dragon-type move power by 10%,3,3,
dragon-gem,held,type-boost,Boosts first Dragon-type move by 30%,6,,Consumed after use
dragon-gem,held,type-boost,Boosts first Dragon-type move by 50%,5,5,Consumed after use
dragon-memory,battle,type-change,Changes Multi-Attack to Dragon type and Silvally to Dragon type,7,,
dragon-memory,field,form-change,Changes Silvally to its Dragon-type form; allows Draco Meteor tutoring in Generation VII,7,7,
dragon-scale,battle,type-boost,Boosts Dragon-type moves by 10%,2,2,Unintended effect
dragon-scale,held,evolution-trigger,Evolves Seadra into Kingdra when traded,2,,
dragon-skull,story,story-item,Triggers a story event involving Team Plasma and the Nacrene Museum.,5,,
dragon-tera-shard,field,tera-type-change,50 shards change a Pokémon’s Tera Type to Dragon at the Treasure Eatery in Medali (except Ogerpon and Terapagos).,9,,
dragoninite,battle,evolution-trigger,Allows Dragonite to Mega Evolve into Mega Dragonite,9,,Requires the Trainer to have a Key Stone
dragonium-z--held,held,form-change,Changes Arceus to its Dragon-type form when held.,7,,
dragonium-z--held,held,type-boost,Upgrades Dragon-type moves into the Z-Move Devastating Drake or Z-powered status moves.,7,,Cannot be removed by item-manipulating effects; unaffected by Embargo or Klutz.
drampanite,battle,evolution-trigger,Allows Drampa to Mega Evolve into Mega Drampa if the Trainer has a Key Stone,9,,Only one Pokémon may Mega Evolve per battle
dread-plate,battle,move-type-change,Judgment becomes Dark-type,4,,Only when held by Arceus
dread-plate,held,type-boost,Boosts Dark-type moves by 20%,4,,
dream-ball,battle,catch-rate-modifier,4× catch rate on sleeping or drowsy Pokémon; otherwise 1×,8,,
dream-mail,held,message-storage,Stores a custom message written by the player and allows it to be traded with the holding Pokémon.,3,3,Cannot be stolen by Covet or Thief; can be removed by Knock Off.
dropped-item,field,story,Triggers Xtransceiver calls from Curtis or Yancy and allows returning the Xtransceiver after enough calls.,5,,
ds-sounds,field,toggle,Switches the in-game music to Nintendo DS-era Pokémon soundtracks and alters Pikachu and Eevee cries.,8,,
dubious-disc,held,evolution-trigger,Evolves Porygon2 into Porygon-Z,4,,Consumed on use
durin-berry,held,natural-gift,Turns Natural Gift into a Water-type move with 80 power in Gen IV–V and 100 power in Gen VI+.,4,,
dusk-ball,battle,catch-rate-modifier,Increases catch rate at night or in caves,4,,Modifier varies by generation
dusk-ball,held,fling,Fling fails,4,,
dusk-stone,field,evolution-trigger,Evolves certain Pokémon when used,4,,
dynamax-band,battle,form-change,"Allows a Pokémon to Dynamax or Gigantamax once per battle at Power Spots, enabling Max and G-Max Moves.",8,,
dynamax-candy,field,stat-boost,"Increases Dynamax Level by 1, increasing Dynamax HP by 5% of base HP per level, up to level 10.",8,,
dynamax-crystal,field,event-trigger,Activates the Watchtower Lair to spawn a Dynamax Pokémon until midnight or until caught.,8,8,
dynite-ore,passive,exchange,"Used as currency to exchange for items, unlock Dynamax Adventures, and pay penalties in the Max Lair.",8,,
earth-plate,held,type-boost,Boosts Ground-type move power by 20%,4,,
earth-plate,held,type-change,Changes Arceus to Ground type,4,,Requires Multitype
eelektrossite,battle,evolution-trigger,Allows Eelektross to Mega Evolve into Mega Eelektross when held,9,,Requires the Trainer to have a Key Stone
eevee-cup,passive,decorative,Decorates the player's picnic without providing gameplay effects.,9,,
eevium-z--held,held,z-move,Upgrades Eevee's Last Resort into Extreme Evoboost.,7,,
egg,passive,ingredient,Used as an ingredient in making a sandwich.,9,,
egg-ticket,field,exchange,Exchange for an Odd Egg at the Pokémon Communication Center in Goldenrod City.,2,2,Original Japanese version Odd Egg had a 50% chance to be Shiny.
eggant-berry,held,status-healing,Cures infatuation,3,3,
eject-button,held,switch,Forces the holder to switch out when hit by a damaging move if it does not faint.,5,,
eject-pack,battle,switch-out,Automatically switches the holder out when any of its stats are lowered.,8,,
electirizer,held,evolution-trigger,Evolves Electabuzz into Electivire on trade or use,4,,
electric-gem,battle,restriction,Fling fails if the user is holding this item,5,,
electric-gem,held,type-boost,Boosts first Electric-type move by 50% and is consumed,5,5,
electric-gem,held,type-boost,Boosts first Electric-type move by 30% and is consumed,6,,
electric-memory,battle,type-change,Multi-Attack becomes Electric-type; Silvally becomes Electric-type,7,,
electric-memory,field,type-change,Changes Silvally to its Electric-type form,7,,
electric-seed,battle,stat-boost,+1 Defense stage when Electric Terrain is active,7,,Consumed on activation; in Generation IX it returns after battle
electric-tera-shard,field,tera-type-change,50 shards change a Pokémon’s Tera Type to Electric,9,,
electrium-z--held,held,form-change,Changes Arceus to its Electric-type form.,7,,
electrium-z--held,held,type-boost,Upgrades Electric-type moves into the Z-Move Gigavolt Havoc or Electric-type Z-Moves.,7,,Unaffected by Embargo and Klutz; cannot be removed by Trick or Fling.
elevator-key,field,unlock,"Unlocks the elevator in Lysandre Labs, allowing access to lower floors.",6,,
elixir,field,pp-restore,Restores 10 PP to all moves,1,,
emboarite,battle,evolution-trigger,Allows Emboar to Mega Evolve into Mega Emboar,9,,
endorsement,field,story,Allows the player to participate in the Gym Challenge.,8,,
energy-powder,field,healing,Restores 50 HP and lowers friendship,2,6,
energy-powder,field,healing,Restores 60 HP and lowers friendship,7,,
energy-root,field,healing,Restores 200 HP and lowers friendship,2,6,
energy-root,field,healing,Restores 120 HP and lowers friendship,7,,
enigma-berry,held,healing,Restores 1/4 of max HP when hit by a super-effective move,4,,
enigma-stone,field,event-trigger,Triggers an encounter with Latios or Latias at Pewter Museum after Hall of Fame and National Pokédex.,4,,
enigmatic-card,field,access,Allows entry to Looker and Anabel's motel room on Route 8.,7,,
entei-treat,field,encounter-trigger,Allows the player to encounter and battle Entei at East Province (Area Three) and receive hints from Snacksworth.,9,,
eon-flute,field,field-move,Summons Latios or Latias to allow soaring in the sky and fast travel.,6,,
eon-mail,held,passive,Allows a Pokémon to hold a written message that can be traded to other games.,2,2,Cannot be stolen by Thief.
eon-ticket,field,story,Allows travel to Southern Island to encounter Latias or Latios.,3,,
epice-noire,passive,crafting,Used to make the Bad Dreams Cruller.,9,,
escape-rope,field,teleport,Returns the player to the cave entrance or last Pokémon Center depending on generation.,1,,
eternal-ice,passive,crafting-ingredient,Required ingredient to create Snow Balms used to quell or rematch Hisuian Avalugg.,8,,
ether,field,pp-restoration,Restores 10 PP to one selected move,1,,
everstone,held,evolution-prevention,Prevents evolution under most conditions while held.,2,,
everstone,held,breeding-nature,Passes down Nature during breeding.,3,,
eviolite,held,stat-boost,Raises Defense and Special Defense by 50% if the holder is not fully evolved,5,,
excadrite,battle,evolution-trigger,Allows Excadrill to Mega Evolve into Mega Excadrill,9,,Requires the Trainer to have a Key Stone
exercise-ball,field,passive,Can be brought out during a picnic to be kicked around by the player and their party Pokémon.,9,,
exp-candy-l,field,experience-gain,Increases a Pokémon's experience by 10000 Exp. Points,8,,
exp-candy-m,field,experience-gain,+3000 Exp. Points,8,,
exp-candy-s,field,experience-gain,Grants 800 Exp. Points to a Pokémon,8,,
exp-candy-xl,field,experience-gain,+30000 Exp. Points,8,,
exp-candy-xs,field,experience-gain,Grants 100 Exp. Points to a Pokémon.,8,,
exp-charm,passive,experience-boost,Increases party experience gained by 50% while in the Bag; does not apply to Poké Jobs or Exp. Candies.,8,,
exp-share,field,experience-share,All party Pokémon gain experience from battles,6,9,Toggleable Key Item
exp-share,held,experience-share,Shares experience points with party Pokémon,1,5,
expert-belt,held,type-boost,Boosts supereffective move damage by 20%,4,,
explorer-kit,field,access,Allows the player to access the Underground or Grand Underground from most locations in Sinnoh.,4,,
fab-mail,held,passive,Allows the holder to carry a customizable Easy Chat message that can be traded to other Generation III games.,3,3,Cannot be stolen by Thief or Covet; can be removed by Knock Off.
fairium-z--held,held,form-change,Changes Arceus to its Fairy-type form.,7,,Due to Multitype.
fairium-z--held,held,type-boost,Upgrades Fairy-type moves into Z-Moves such as Twinkle Tackle.,7,,Cannot be removed by Trick or Fling; unaffected by Embargo or Klutz.
fairy-feather,held,type-boost,Boosts Fairy-type move power by 20%,9,,
fairy-gem,battle,restriction,Fling fails if the user is holding this item.,6,,
fairy-gem,held,type-boost,Boosts the first Fairy-type move used by 30% and is consumed.,6,,
fairy-memory,battle,type-change,Changes Multi-Attack to Fairy type and Silvally to Fairy type.,7,,
fairy-memory,field,type-change,Changes Silvally to its Fairy-type form.,7,,
fairy-tera-shard,field,tera-type-change,Use 50 shards to change a Pokémon’s Tera Type to Fairy at the Treasure Eatery in Medali.,9,,Cannot be used on Ogerpon or Terapagos.
falinksite,battle,evolution-trigger,Allows Falinks to Mega Evolve into Mega Falinks while held.,9,,Requires a Key Stone; only one Mega Evolution can occur per battle.
fame-checker,field,information,Records and displays quotes and information about notable characters encountered.,3,3,
fancy-apple,field,crafting,Used as an ingredient when cooking curry,8,,
fast-ball,battle,catch-rate,4× catch rate if target has base Speed ≥ 100; otherwise 1×,4,,Ultra Beasts instead use a reduced catch modifier.
favored-mail,held,passive,Allows the holder to carry a customizable Easy Chat message that can be traded to other games of the same generation.,5,,"Prevents certain moves and abilities such as Trick, Switcheroo, Bestow, and Fling."
